_id,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user.id,user.id_str,user.name,user.screen_name,user.location,user.url,user.description,user.translator_type,user.protected,user.verified,user.followers_count,user.friends_count,user.listed_count,user.favourites_count,user.statuses_count,user.created_at,user.utc_offset,user.time_zone,user.geo_enabled,user.lang,user.contributors_enabled,user.is_translator,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,geo,coordinates,place,contributors,is_quote_status,extended_tweet.full_text,extended_tweet.display_text_range,extended_tweet.entities.hashtags,extended_tweet.entities.urls,extended_tweet.entities.user_mentions,extended_tweet.entities.symbols,quote_count,reply_count,retweet_count,favorite_count,entities.hashtags,entities.urls,entities.user_mentions,entities.symbols,favorited,retweeted,filter_level,lang,timestamp_ms
5f58a92c90b50f3efef7c950,Wed Sep 09 10:06:49 +0000 2020,1303635965047533574,1303635965047533574,RT @guardianscience: The Oxford University AstraZeneca Covid-19 vaccine trial has been paused – should we be worried? https://t.co/yHAayUTc…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,2283531150,2283531150,Javeed Mahmood,Javeedmahmood,Republic of Korea,https://publons.com/researcher/1669695/javeed-mahmood/,"Research Professor, Department of Energy Engineering, (UNIST), Ph.D.

Understand well then expect to be understood. 
To be to followed, ""Follow"". 
🇵🇰",none,false,false,284,336,2,3676,4912,Thu Jan 09 12:45:26 +0000 2014,null,null,false,null,false,false,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,981CEB,000000,000000,000000,false,http://pbs.twimg.com/profile_images/1192598194376462341/GSZEBURq_normal.jpg,https://pbs.twimg.com/profile_images/1192598194376462341/GSZEBURq_normal.jpg,https://pbs.twimg.com/profile_banners/2283531150/1389272327,false,false,null,null,null,null,null,null,null,false,,,,,,,0,0,0,0,[],[],"[{""screen_name"":""guardianscience"",""name"":""Guardian Science"",""id"":21581503,""id_str"":""21581503"",""indices"":[3,19]}]",[],false,false,low,en,1599646009109
5f58a92d90b50f3efef7c952,Wed Sep 09 10:06:49 +0000 2020,1303635965093838850,1303635965093838850,RT @DavidCornDC: Think about this tweet now.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,4046815702,4046815702,Daniel.psw,troopcommandant,United States,null,#skysoldiers#saberguardians#strong europe#airborne,none,false,false,198,156,0,11250,10712,Mon Oct 26 14:33:07 +0000 2015,null,null,false,null,false,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1299126402709622785/Hjp8pQYO_normal.jpg,https://pbs.twimg.com/profile_images/1299126402709622785/Hjp8pQYO_normal.jpg,https://pbs.twimg.com/profile_banners/4046815702/1598572078,true,false,null,null,null,null,null,null,null,true,,,,,,,0,0,0,0,[],[],"[{""screen_name"":""DavidCornDC"",""name"":""David Corn"",""id"":15220768,""id_str"":""15220768"",""indices"":[3,15]}]",[],false,false,low,en,1599646009120
5f58a92d90b50f3efef7c954,Wed Sep 09 10:06:49 +0000 2020,1303635965299232768,1303635965299232768,RT @sandeepn9ne: It seems Arnab &amp; Kangana will bring Maharashtra’s MVA Govt .... While Maharashtra battles with 2.25 active covid cases but…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,1285945039428841478,1285945039428841478,Pankaj mani,DownloadNamoApp,null,null,null,none,false,false,256,210,1,17,6670,Wed Jul 22 14:29:35 +0000 2020,null,null,false,null,false,false,F5F8FA,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1290719951607590912/3-OF_kPP_normal.jpg,https://pbs.twimg.com/profile_images/1290719951607590912/3-OF_kPP_normal.jpg,https://pbs.twimg.com/profile_banners/1285945039428841478/1595967272,true,false,null,null,null,null,null,null,null,false,,,,,,,0,0,0,0,[],[],"[{""screen_name"":""sandeepn9ne"",""name"":""Sandeep"",""id"":29687579,""id_str"":""29687579"",""indices"":[3,15]}]",[],false,false,low,en,1599646009169
5f58a92d90b50f3efef7c956,Wed Sep 09 10:06:49 +0000 2020,1303635965357899776,1303635965357899776,"RT @themojo_in: #Indore| Amid rising cases of #COVID19, MP Cabinet Minister Tulsi Silawat organises religious procession as elections inch…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,1433232877,1433232877,Muhammad Sajid,ms_sajid7,"Kolkata, India",null,"Perfection is not attainable, but if u chase perfection, we can catch excellence!",none,false,false,5,150,0,245,243,Thu May 16 14:27:32 +0000 2013,null,null,false,null,false,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1142422960000471045/pcRuiAN8_normal.jpg,https://pbs.twimg.com/profile_images/1142422960000471045/pcRuiAN8_normal.jpg,https://pbs.twimg.com/profile_banners/1433232877/1515839568,true,false,null,null,null,null,null,null,null,false,,,,,,,0,0,0,0,"[{""text"":""Indore"",""indices"":[16,23]},{""text"":""COVID19"",""indices"":[46,54]}]",[],"[{""screen_name"":""themojo_in"",""name"":""Mojo Story"",""id"":854614125003014100,""id_str"":""854614125003014144"",""indices"":[3,14]}]",[],false,false,low,en,1599646009183
5f58a92d90b50f3efef7c958,Wed Sep 09 10:06:49 +0000 2020,1303635965781716995,1303635965781716995,RT @AliquamScripto: Corona when it sees a group of 6+ together but they’re in school uniform  https://t.co/RdLxixK4Wr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,2752808578,2752808578,DC,kxng_adz,London📍,null,null,none,false,false,252,311,0,6182,2005,Wed Aug 27 20:03:50 +0000 2014,null,null,true,null,false,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1297639591583920130/wAQ9Stw9_normal.jpg,https://pbs.twimg.com/profile_images/1297639591583920130/wAQ9Stw9_normal.jpg,https://pbs.twimg.com/profile_banners/2752808578/1546477646,true,false,null,null,null,null,null,null,null,true,,,,,,,0,0,0,0,[],[],"[{""screen_name"":""AliquamScripto"",""name"":""Tiny Byte"",""id"":925436770866655200,""id_str"":""925436770866655232"",""indices"":[3,18]}]",[],false,false,low,en,1599646009284
