,text
115,"{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.6249}"
116,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}"
117,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}"
118,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
119,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}"
120,"{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.6486}"
121,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}"
122,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
123,"{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.0191}"
124,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3612}"
125,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.4215}"
126,"{'neg': 0.202, 'neu': 0.351, 'pos': 0.447, 'compound': 0.4215}"
127,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.7351}"
128,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.4767}"
129,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
130,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
131,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.4364}"
132,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
133,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.3182}"
134,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}"
135,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}"
136,"{'neg': 0.514, 'neu': 0.324, 'pos': 0.162, 'compound': -0.8176}"
137,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
138,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
139,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}"
140,"{'neg': 0.117, 'neu': 0.669, 'pos': 0.214, 'compound': 0.2856}"
141,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.3612}"
142,"{'neg': 0.639, 'neu': 0.361, 'pos': 0.0, 'compound': -0.886}"
143,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}"
144,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}"
145,"{'neg': 0.187, 'neu': 0.645, 'pos': 0.168, 'compound': -0.0772}"
146,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
147,"{'neg': 0.0, 'neu': 0.44, 'pos': 0.56, 'compound': 0.7845}"
149,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
150,"{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.128}"
151,"{'neg': 0.184, 'neu': 0.68, 'pos': 0.136, 'compound': -0.1779}"
152,"{'neg': 0.0, 'neu': 0.424, 'pos': 0.576, 'compound': 0.7999}"
153,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
154,"{'neg': 0.0, 'neu': 0.438, 'pos': 0.562, 'compound': 0.8271}"
155,"{'neg': 0.0, 'neu': 0.598, 'pos': 0.402, 'compound': 0.5719}"
156,"{'neg': 0.231, 'neu': 0.672, 'pos': 0.097, 'compound': -0.4215}"
157,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
158,"{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.5106}"
159,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
